央视频,#genre#
无线戏曲台,https://tvb.mytvsuper.us.kg/stream/tvb/null-10/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
无线粤片台,https://tvb.mytvsuper.us.kg/stream/tvb/null-6/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
港台电视31,https://tvb.mytvsuper.us.kg/stream/tvb/31/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
港台电视32,https://tvb.mytvsuper.us.kg/stream/tvb/32/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
港台电视33,https://tvb.mytvsuper.us.kg/stream/tvb/33-1/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
港台电视34,https://tvb.mytvsuper.us.kg/stream/tvb/34/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
港台电视35,https://tvb.mytvsuper.us.kg/stream/tvb/35/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
港台电视36,https://tvb.mytvsuper.us.kg/stream/tvb/33/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
神州新闻台,https://tvb.mytvsuper.us.kg/stream/tvb/null-21/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
中国电影台,https://tvb.mytvsuper.us.kg/stream/tvb/null-13/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
央视一台港,https://tvb.mytvsuper.us.kg/stream/tvb/null-20/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
亚洲新闻台,https://tvb.mytvsuper.us.kg/stream/tvb/null-23/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
创世电视台,https://tvb.mytvsuper.us.kg/stream/tvb/null-15/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
东方国际台,https://tvb.mytvsuper.us.kg/stream/tvb/null-16/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
卫星亚洲台,https://tvb.mytvsuper.us.kg/stream/tvb/null-14/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
Tvbs新闻台,https://tvb.mytvsuper.us.kg/stream/tvb/null-22/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
Animax-英,https://tvb.mytvsuper.us.kg/stream/tvb/animax/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
ArirangTV,https://tvb.mytvsuper.us.kg/stream/tvb/arirangtv/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
AXN-频道,https://tvb.mytvsuper.us.kg/stream/tvb/axn/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
CGTN英语,https://tvb.mytvsuper.us.kg/stream/tvb/cgtn-1/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
CGTN记录,https://tvb.mytvsuper.us.kg/stream/tvb/cgtn/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
NHK-日本,https://tvb.mytvsuper.us.kg/stream/tvb/nhkworldjapan/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
Nick-动一,https://tvb.mytvsuper.us.kg/stream/tvb/nickjr/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
Nick-动二,https://tvb.mytvsuper.us.kg/stream/tvb/nickelodeon/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
ROCK影一,https://tvb.mytvsuper.us.kg/stream/tvb/rockaction/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
ROCK影二,https://tvb.mytvsuper.us.kg/stream/tvb/rock/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
Thrill-泰台,https://tvb.mytvsuper.us.kg/stream/tvb/thrill/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
tvN韩综台,https://tvb.mytvsuper.us.kg/stream/tvb/tvn/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
Zo-儿童台,https://tvb.mytvsuper.us.kg/stream/tvb/zoomoo/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
半岛电视英,https://tvb.mytvsuper.us.kg/stream/tvb/null-24/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
DW频道英,https://tvb.mytvsuper.us.kg/stream/tvb/dw/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
Fash秀时装,https://tvb.mytvsuper.us.kg/stream/tvb/fashionbox/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
France 24,https://tvb.mytvsuper.us.kg/stream/tvb/france24/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
GlobalTre,https://tvb.mytvsuper.us.kg/stream/tvb/globaltrekker/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
NatureHD,https://tvb.mytvsuper.us.kg/stream/tvb/lovenaturehd/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
Mezzo HD,https://tvb.mytvsuper.us.kg/stream/tvb/mezzolivehd/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc

测试,#genre#
网袜白虎小学妹,https://t21.cdn2020.com/video/m3u8/2023/03/03/b233b478/index.m3u8
零三年的小白虎-唐伯虎,https://t21.cdn2020.com/video/m3u8/2023/03/03/42c5f64b/index.m3u8
骑射JK双马尾,https://t21.cdn2020.com/video/m3u8/2023/03/03/60dce235/index.m3u8
JK学妹的毕业洗礼,https://t21.cdn2020.com/video/m3u8/2023/03/06/a800ea05/index.m3u8
啦啦队嫩模被潜规则,https://t21.cdn2020.com/video/m3u8/2023/02/17/7a7e5919/index.m3u8
榜一老板线下输出性感女主播,https://t21.cdn2020.com/video/m3u8/2023/02/17/024eb523/index.m3u8
OL制服的诱惑,https://t21.cdn2020.com/video/m3u8/2023/03/15/d767cfb4/index.m3u8
上门服务的特殊治疗,https://t21.cdn2020.com/video/m3u8/2023/02/17/d477b576/index.m3u8
FSOG-074性欲超强萝莉女友,https://t21.cdn2020.com/video/m3u8/2023/02/17/b3eef68b/index.m3u8
FSOG-075足球宝贝儿性感蜜桃臀诱惑,https://t21.cdn2020.com/video/m3u8/2023/03/15/e2e60c2f/index.m3u8
FSOG-077萝莉妹妹酒后失身,https://t21.cdn2020.com/video/m3u8/2023/02/17/a7a670e5/index.m3u8
FSOG-079揪着双马尾疯狂后入,https://t21.cdn2020.com/video/m3u8/2023/02/16/ba368fa6/index.m3u8
FSOG-080美腿蜜穴小恶魔-冉冉学姐,https://t21.cdn2020.com/video/m3u8/2023/02/16/e6c53daa/index.m3u8
FSOG-081诱骗路人大学生意外中出,https://t21.cdn2020.com/video/m3u8/2023/02/19/311c1d6d/index.m3u8
FSOG-082COS安其拉被摄影师内射,https://t21.cdn2020.com/video/m3u8/2023/02/19/7098e6f1/index.m3u8
FSOG-083绿帽老公爱看别人操老婆,https://t21.cdn2020.com/video/m3u8/2023/02/26/dbf22d21/index.m3u8
FSOG-084十八岁舞蹈生体验,https://t21.cdn2020.com/video/m3u8/2023/03/07/568a14c8/index.m3u8
FSOG-085JK小母狗勾引老师,https://t21.cdn2020.com/video/m3u8/2023/03/10/26125790/index.m3u8
FSOG-086大神偷拍一线网

红,https://t21.cdn2020.com/video/m3u8/2023/03/14/b0a5508a/index.m3u8
FSOG-088疯狂输出新人模特,https://t21.cdn2020.com/video/m3u8/2023/04/06/6fc3e1ef/index.m3u8
FSOG-091性感身材必灌

满,https://t21.cdn2020.com/video/m3u8/2023/04/14/7ba9b3fe/index.m3u8
FSOG-092兄弟和妻子的故事,https://t21.cdn2020.com/video/m3u8/2023/04/20/4f419c01/index.m3u8
JK少女的肉体补

习,https://t21.cdn2020.com/video/m3u8/2023/02/08/fd3845eb/index.m3u8
MAD-046极乐修仙者,https://t21.cdn2020.com/video/m3u8/2023/04/11/75a9da10/index.m3u8
MCY-0130和寂寞小姨的性爱切磋-林

嫣,https://t21.cdn2020.com/video/m3u8/2023/01/19/871f7915/index.m3u8
MCY-0133淫荡女上司的骚穴疼爱-李蓉蓉,https://t21.cdn2020.com/video/m3u8/2023/02/21/feff1884/index.m3u8
MCY-0134把保姆的女儿按在沙发强奸-管明

美,https://t21.cdn2020.com/video/m3u8/2023/01/20/701e7558/index.m3u8
MCY-0135羞涩反差女儿忘情吹箫-雪千夏,https://t21.cdn2020.com/video/m3u8/2023/02/17/fcaf7d93/index.m3u8
MCY-0136对家教老师的淫行计划-雪千

夏,https://t21.cdn2020.com/video/m3u8/2023/02/26/8f99f8ee/index.m3u8
MCY-0137巨乳姪女的嫩穴抚慰,https://t21.cdn2020.com/video/m3u8/2023/02/19/55cd1256/index.m3u8
MCY-0138将计就计迷奸极品妹妹-凌

薇,https://t21.cdn2020.com/video/m3u8/2023/02/23/161c098a/index.m3u8
MCY-0139少妇跪求皮鞭伺候窒息性爱-秦可欣,https://t21.cdn2020.com/video/m3u8/2023/02/05/be9b9157/index.m3u8
MCY-0140抖音网红妹妹的抖胸变装-秦可

欣,https://t21.cdn2020.com/video/m3u8/2023/02/07/1948f108/index.m3u8
MCY-0146丧伦痴女骑上爸爸大鸡巴-管明美,https://t21.cdn2020.com/video/m3u8/2023/02/05/791f6e32/index.m3u8
MCY-0147强欲表哥猛操巨乳表妹-沈娜

娜,https://t21.cdn2020.com/video/m3u8/2023/02/07/37e7ae13/index.m3u8
MCY-0148开发M属性骚气小妹,https://t21.cdn2020.com/video/m3u8/2023/02/11/a582cbf1/index.m3u8
MCY-0149沉迷于肉棒的饥渴少女-邓紫

晴,https://t21.cdn2020.com/video/m3u8/2023/02/13/2f1451c5/index.m3u8
MCY-0150色公公诱奸漂亮儿媳-管明美,https://t21.cdn2020.com/video/m3u8/2023/02/13/16c27a35/index.m3u8
MCY-0151顶流性感女画家的秘密-沈娜

娜,https://t21.cdn2020.com/video/m3u8/2023/03/01/a5da3f71/index.m3u8
MCY-0152外拍惨遭迷奸美少女-徐蕾,https://t21.cdn2020.com/video/m3u8/2023/02/28/9ec6e745/index.m3u8
MCY-0153女友竟与干爹源开啪-夏晴

子,https://t21.cdn2020.com/video/m3u8/2023/03/07/530fc641/index.m3u8
MCY-0154强上黑丝美足家教-玥可岚,https://t21.cdn2020.com/video/m3u8/2023/03/07/999025a6/index.m3u8
MCY-0155爆操超嫩白虎JK少女-夏晴

子,https://t21.cdn2020.com/video/m3u8/2023/03/07/cc13e196/index.m3u8
MCY-0156淫荡痴女NTR绿帽老公-苏念瑾,https://t21.cdn2020.com/video/m3u8/2023/03/10/cbbc0463/index.m3u8
MCY-0157老婆手机里的秘密-李蓉

蓉,https://t21.cdn2020.com/video/m3u8/2023/03/14/b79bb2db/index.m3u8
MCY-0158沉迷二次元的骚小姨-季妍希,https://t21.cdn2020.com/video/m3u8/2023/03/14/2008a2d5/index.m3u8
MCY-0159操到抖音姐姐翻白眼-林

嫣,https://t21.cdn2020.com/video/m3u8/2023/03/16/0c85fd86/index.m3u8
MCY-0160私人教练的口活课程-艾熙,https://t21.cdn2020.com/video/m3u8/2023/03/19/625917c3/index.m3u8
MCY-0161性感黑道千金来牵茎-艾

秋,https://t21.cdn2020.com/video/m3u8/2023/03/19/ebfc4093/index.m3u8
MCY-0162我的巨乳极品萌妹-周甯,https://t21.cdn2020.com/video/m3u8/2023/03/22/8989cc0b/index.m3u8
MCY-0163醉酒美女邻居半夜求操-艾

秋,https://t21.cdn2020.com/video/m3u8/2023/03/23/ed5afb3d/index.m3u8
MCY-0164高端外围竟是妈妈的朋友-楚梦舒,https://t21.cdn2020.com/video/m3u8/2023/03/27/041ff394/index.m3u8
MCY-0165强上我的美艳房东-舒可

芯,https://t21.cdn2020.com/video/m3u8/2023/03/29/2df1c155/index.m3u8
MCY-0166你的骚逼比我老婆还紧,https://t21.cdn2020.com/video/m3u8/2023/03/31/5a6c3c12/index.m3u8
MCY-0167暗黑国王游戏-玥可

岚,https://t21.cdn2020.com/video/m3u8/2023/04/02/0b40fe86/index.m3u8
MCY-0168冰火两重天体验让我腿软了-雪千夏,https://t21.cdn2020.com/video/m3u8/2023/04/06/09f7014f/index.m3u8
MCY-0169约炮体验矇眼被人操-苏安

亚,https://t21.cdn2020.com/video/m3u8/2023/04/06/407dd36f/index.m3u8
MCY-0170享受小偷侵犯的短暂时刻-韩棠,https://t21.cdn2020.com/video/m3u8/2023/04/07/ac24fb9c/index.m3u8
MCY-0171出游惨遭隔壁房客强上-宋东

琳,https://t21.cdn2020.com/video/m3u8/2023/04/09/85105a6b/index.m3u8
MCY-0172呆萌嫂子叫声真骚-管明美,https://t21.cdn2020.com/video/m3u8/2023/04/13/3d389082/index.m3u8
MCY-0173为了怀孕和老公兄弟借种-唐

芯,https://t21.cdn2020.com/video/m3u8/2023/04/13/4b24930c/index.m3u8
MCY-0174强欲少妇开脚勾引修理工-季妍希,https://t21.cdn2020.com/video/m3u8/2023/04/14/2b3b9462/index.m3u8
MCY-0175大胸美女学防狼反被操-梁芸

菲,https://t21.cdn2020.com/video/m3u8/2023/04/18/8e00be51/index.m3u8
MCY-0176独居游子的春节性福餐-舒可芯,https://t21.cdn2020.com/video/m3u8/2023/01/26/91a52352/index.m3u8
MCY-0177双薪加巨屌的加班福利-玥可

岚,https://t21.cdn2020.com/video/m3u8/2023/01/27/10759ad0/index.m3u8
MCY-0178刚返乡的表姐就想强上我,https://t21.cdn2020.com/video/m3u8/2023/01/28/3093bdbc/index.m3u8
MCY-0179小姨的新春大红鲍-苏语

棠,https://t21.cdn2020.com/video/m3u8/2023/01/24/bf250581/index.m3u8
MCY-0180我和叔叔的新年淫春炮-玥可岚,https://t21.cdn2020.com/video/m3u8/2023/01/31/53a6c5e5/index.m3u8
MCY-0181OL姐姐的色欲丝足服务-玥可

岚,https://t21.cdn2020.com/video/m3u8/2023/04/20/da01b50e/index.m3u8
MCY-0182漂亮看护的肉穴治疗-韩棠,https://t21.cdn2020.com/video/m3u8/2023/04/21/f3a1a754/index.m3u8
MCY-0183初闯啦啦队队长密穴-姚宛

儿,https://t21.cdn2020.com/video/m3u8/2023/04/24/95d3dde5/index.m3u8
MCY-0184与教练轮奸他的骚妇,https://t21.cdn2020.com/video/m3u8/2023/04/24/da84d455/index.m3u8
MCY-0189我的情人节精喜-徐

蕾,https://t21.cdn2020.com/video/m3u8/2023/02/15/015c6446/index.m3u8
MD-0262肛门淫辱白衣NTR-苡若,https://t21.cdn2020.com/video/m3u8/2023/01/19/58cbe84c/index.m3u8
MD-0268巨乳家教内射课程-凌

薇,https://t21.cdn2020.com/video/m3u8/2023/03/04/7ac5d1d7/index.m3u8
MD-0269换妻性爱淫元宵-梁佳芯,https://t21.cdn2020.com/video/m3u8/2023/02/07/3682b25a/index.m3u8
MD-0271傲慢的恶女上司-周

甯,https://t21.cdn2020.com/video/m3u8/2023/03/09/54ccfd74/index.m3u8
MD-0272极上烂屌救援队-温芮欣,https://t21.cdn2020.com/video/m3u8/2023/02/16/ac508a29/index.m3u8
MD-0273淫浪女仆失职欠教

育,https://t21.cdn2020.com/video/m3u8/2023/04/20/6f36b3ef/index.m3u8
MD-0274学生妹遭尾随迷奸,https://t21.cdn2020.com/video/m3u8/2023/04/18/04e9a9cd/index.m3u8
MD-0277街头猎艳单身欲女-艾

熙,https://t21.cdn2020.com/video/m3u8/2023/04/02/2992f8a3/index.m3u8
MDS-119你老婆操起来真香,https://t21.cdn2020.com/video/m3u8/2023/01/31/0b404011/index.m3u8
MDX-0258放课后的温腥时光-林

嫣,https://t21.cdn2020.com/video/m3u8/2023/04/13/4717d497/index.m3u8
MDX-0259解放老公的偷窃癖-苏念瑾,https://t21.cdn2020.com/video/m3u8/2023/04/14/929bd6b9/index.m3u8
MDX-0260被爸爸操到升

天,https://t21.cdn2020.com/video/m3u8/2023/04/20/44aaba5e/index.m3u8
MDX-0261骑上反差黑丝婊-苏念瑾,https://t21.cdn2020.com/video/m3u8/2023/04/24/36af417d/index.m3u8
MKY-TN-003最喜欢爸爸的鸡巴了-周

甯,https://t21.cdn2020.com/video/m3u8/2023/01/24/ddfe2f5a/index.m3u8
MM-072新加坡跳蛋高潮-吴梦梦,https://t21.cdn2020.com/video/m3u8/2023/01/27/a4bf6fe5/index.m3u8
MM-073韩国性爱之旅-吴梦

梦,https://t21.cdn2020.com/video/m3u8/2023/02/28/12c62d8b/index.m3u8
MM-074洄澜看海之旅-吴梦梦,https://t21.cdn2020.com/video/m3u8/2023/03/09/167d8603/index.m3u8
MM-075一日女友计划-吴梦

梦,https://t21.cdn2020.com/video/m3u8/2023/04/14/58f5420a/index.m3u8
MPG-0035相亲艳遇三人行,https://t21.cdn2020.com/video/m3u8/2023/03/23/9578f833/index.m3u8
MPG-0036美女遭屌丝下药迷

奸,https://t21.cdn2020.com/video/m3u8/2023/03/24/3c4ccbcd/index.m3u8
MPG-0037两兄弟轮操失恋小姑-徐蕾,https://t21.cdn2020.com/video/m3u8/2023/03/27/d4a75e10/index.m3u8
MPG-0038美乳姪女勾搭上亲叔-白靖

寒,https://t21.cdn2020.com/video/m3u8/2023/03/29/c19f9a6a/index.m3u8
MPG-0039处男约炮瀑乳女老师,https://t21.cdn2020.com/video/m3u8/2023/03/31/9428f5d1/index.m3u8
MPG-0040强爆性感巨乳老师-玥可

岚,https://t21.cdn2020.com/video/m3u8/2023/04/02/766c18e1/index.m3u8
